input_id	dealiased_id	standard_id	short_id
doi:10.3390/su15010641	doi:10.3390/su15010641	doi:10.3390/su15010641	C5rC54cy
doi:10.3390/app11020800	doi:10.3390/app11020800	doi:10.3390/app11020800	7q2VNk94
doi:10.1680/macr.2005.57.8.445	doi:10.1680/macr.2005.57.8.445	doi:10.1680/macr.2005.57.8.445	1GKECWcka
lee2003	lee2003	lee2003	H2rfhitf
goldman1993	goldman1993	goldman1993	oINi2vrz
lai1997	lai1997	lai1997	zBw1t13m
vilarinho2009researchgate	vilarinho2009researchgate	vilarinho2009researchgate	5TGE0dep
doi:10.1016/j.surfin.2020.100705	doi:10.1016/j.surfin.2020.100705	doi:10.1016/j.surfin.2020.100705	nH3dDgd7
doi:10.1016/j.procs.2020.05.145	doi:10.1016/j.procs.2020.05.145	doi:10.1016/j.procs.2020.05.145	Igpyn5mh
en13055-1-2016	en13055-1-2016	en13055-1-2016	nxx9rDSq
doi:10.1016/j.jclepro.2015.07.001	doi:10.1016/j.jclepro.2015.07.001	doi:10.1016/j.jclepro.2015.07.001	u8bURMeN
sivakumar2015flyash	sivakumar2015flyash	sivakumar2015flyash	ZvZXLiEd
doi:10.1016/j.bsecv.2021.11.003	doi:10.1016/j.bsecv.2021.11.003	doi:10.1016/j.bsecv.2021.11.003	JFqEuzXI
doi:10.3390/ma15113929	doi:10.3390/ma15113929	doi:10.3390/ma15113929	81Cz4XDP
doi:10.3390/ma11122434	doi:10.3390/ma11122434	doi:10.3390/ma11122434	vGFdVmWU
zach2009	zach2009	zach2009	157O3X0aW
doi:10.1016/j.matdes.2013.12.013	doi:10.1016/j.matdes.2013.12.013	doi:10.1016/j.matdes.2013.12.013	EI8Ba5X
doi:10.3390/buildings12010060	doi:10.3390/buildings12010060	doi:10.3390/buildings12010060	rCm0JXFJ
doi:10.3390/ma12020267	doi:10.3390/ma12020267	doi:10.3390/ma12020267	FiOLHRUz
doi:10.1155/2024/8263261	doi:10.1155/2024/8263261	doi:10.1155/2024/8263261	eyUFmQR5
doi:10.3390/atmos13091494	doi:10.3390/atmos13091494	doi:10.3390/atmos13091494	u5R710lx
doi:10.1016/j.conbuildmat.2022.128187	doi:10.1016/j.conbuildmat.2022.128187	doi:10.1016/j.conbuildmat.2022.128187	gwevT09e
22126388	22126388	pubmed:22126388	DFirTGmT
doi:10.1016/S0008-8846	doi:10.1016/S0008-8846	doi:10.1016/s0008-8846	1F6oGNmnX
doi:10.1061	doi:10.1061	doi:10.1061	YWkzNhti
doi:10.1016/S1644-9665	doi:10.1016/S1644-9665	doi:10.1016/s1644-9665	s2se25Tx
doi:10.1016/j.cemconres.2010.11.003	doi:10.1016/j.cemconres.2010.11.003	doi:10.1016/j.cemconres.2010.11.003	mXVEqWIa
